优化算法	目标属性	起始分子数	优化后分子数	起始LUMO均值	优化后LUMO均值	类药性均值	logP均值	多样性intdiv	环数均值	多样性hamdiv	Morgan相似度	GED均值	GED相似度	平均改善值	rank	改善百分比	rank	rank 加权	总排名					
DST	LUMO(D)	50	480	0.4585	-1.1593	0.5873	1.9429	0.7583	5.2708	6.6475	0.2224	2.8271	0.2971	-1.5922	6	94.58%	4	10	6					
FFLOM		48	464	0.5646	-2.1228	0.4308	0.9066	0.6694	3.8750	5.1253	0.3292	2.3728	0.3337	-2.7134	5	95.79%	3	8	4					
DyMol		50	500	0.4585	-2.7564	0.5380	3.1172	0.8424	10.0000	8.0088	0.0511	14.1620	0.0729	-3.2149	4	96.80%	2	6	2					
CMOMO		50	360	0.4585	-3.4730	0.4334	0.4257	0.8193	6.9800	6.2088	0.1163	6.8667	0.1577	-3.6618	3	81.39%	6	9	5					
TransDLM		50	483	0.4585	-0.0061	0.4278	0.4200	0.2067	1.4898	1.1203	0.4614	1.2174	0.5468	-0.4838	7	63.98%	7	14	7					
OFO		50	449	0.4585	-3.4966	0.4101	0.1684	0.7823	5.4600	6.0768	0.1136	6.4432	0.1583	-3.7226	1	98.66%	1	2	1					
OFO-mcts		50	458	0.4585	-3.2122	0.3925	-0.0370	0.4357	2.2800	2.5607	0.0844	6.8013	0.1514	-3.6869	2	93.67%	5	7	3					
																								
DST	LUMO(U)	50	480	0.4585	0.9749	0.5712	2.0324	0.7508	4.8125	6.5492	0.2402	2.7062	0.3253	0.4716	6	35.00%	8	14	7					
FFLOM		48	438	0.5646	1.0598	0.4361	0.6484	0.5709	2.1250	3.7456	0.4915	1.6781	0.4648	0.3837	7	60.49%	6	13	6					
DyMol		50	500	0.4585	2.7564	0.5380	3.1172	0.8424	10.0000	8.0088	0.0511	14.1620	0.0729	3.2149	1	96.80%	1	2	1					
CMOMO		50	345	0.4585	1.8444	0.4910	1.2645	0.8186	5.5200	5.5146	0.1236	7.4551	0.1407	1.4548	2	80.00%	4	6	2					
TransDLM		50	477	0.4585	0.3997	0.4434	0.5705	0.2066	1.4800	1.1459	0.4887	1.1887	0.5510	0.1064	8	40.25%	7	15	8					
OFO		50	500	0.4585	0.9311	0.4395	0.7455	0.7846	5.7400	6.7487	0.1822	4.9920	0.1955	0.4726	5	64.40%	5	10	5					
OFO-mcts/400		50	485	0.4585	1.4434	0.4723	1.2336	0.3636	2.5600	2.3590	0.1819	5.8289	0.1789	1.2847	4	83.30%	2	6	2					
OFO-mcts/800		50	486	0.4585	1.4511	0.4768	1.2932	0.3881	2.4600	2.3536	0.1541	6.5576	0.1533	1.3292	3	83.13%	3	6	2					
																								
DST	HOMO(D)	50	480	-7.0820	-6.6560	0.5188	1.4706	0.7796	5.3333	6.7217	0.2996	2.1250	0.3851	-0.7296	4	73.33%	4	8	4					
FFLOM		48	473	-7.0385	-7.7467	0.4190	0.7521	0.5649	2.8333	3.7003	0.4035	1.8922	0.3903	-0.7084	5	95.59%	1	6	3					
DyMol		50	500	-7.0820	-6.8932	0.7361	2.3060	0.8568	10.0000	8.1676	0.0634	11.8540	0.0848	-0.1888	6	44.40%	6	12	6					
CMOMO		50	425	-7.0820	-8.4590	0.4485	0.7508	0.8381	6.5200	6.9250	0.1099	6.2259	0.1611	-1.3329	2	92.71%	2	4	1					
TransDLM		50	488	-7.0820	-6.9713	0.4290	0.4001	0.2382	1.5800	1.3016	0.4852	1.2275	0.5507	-0.1174	7	39.14%	7	14	7					
OFO-BFS-Dec		50	433	-7.082	-7.6023	0.3852	0.3158	0.7685	4.52	5.7616	0.136	6.1062	0.1576	-0.9125	3	72.06%	5	8	4					
OFO-MCTS-Dec		50	435	-7.082	-8.5686	0.38	0.7121	0.5241	2.26	3.0763	0.1277	6.1471	0.1749	-1.6361	1	88.74%	3	4	1					
																								
DST	HOMO(U)	50	480	-7.0820	-4.7350	0.6171	1.5518	0.7845	5.9167	6.8685	0.2048	3.1562	0.2639	2.3294	2	97.71%	3	5	2					
FFLOM		48	420	-7.0385	-5.4878	0.4257	0.5270	0.6415	3.5625	4.3978	0.3755	2.1357	0.3729	1.532	6	91.42%	5	11	6					
DyMol		50	500	-7.0820	-5.2729	0.7345	3.2417	0.8796	10.0000	8.4912	0.0507	12.1340	0.0873	1.8091	5	100.00%	1	6	3					
CMOMO		50	455	-7.0820	-2.2245	0.4165	-0.1214	0.9308	9.0400	8.3413	0.0788	8.2418	0.1255	4.8811	1	98.68%	2	3	1					
TransDLM		50	477	-7.0820	-6.7543	0.4396	0.5711	0.2428	1.6600	1.2735	0.4557	1.2159	0.5453	0.327	7	70.65%	7	14	7					
OFO-BFS-Inc		50	395	-7.082	-5.396	0.4059	0.0226	0.7837	4.6327	5.7188	0.132	6.7089	0.1517	2.1651	4	81.27%	6	10	5					
OFO-MCTS-Inc		50	323	-7.082	-4.9362	0.4211	-0.0481	0.4866	2.36	2.607	0.1703	5.5975	0.1942	2.1783	3	95.05%	4	7	4					
